name,latitude,longitude,primary_fuel,estimated_generation_gwh_2017
Kajaki Hydroelectric Power Plant Afghanistan,32.322,65.119,Hydro,119.5
Kandahar DOG,31.67,65.795,Solar,18.29
Kandahar JOL,31.623,65.792,Solar,18.72
Mahipar Hydroelectric Power Plant Afghanistan,34.556,69.4787,Hydro,174.91
Naghlu Dam Hydroelectric Power Plant Afghanistan,34.641,69.717,Hydro,350.8
Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,34.4847,70.3633,Hydro,46.12
Northwest Kabul Power Plant Afghanistan,34.5638,69.1134,Gas,
Pul-e-Khumri Hydroelectric Power Plant Afghanistan,35.9416,68.71,Hydro,19.74
Sarobi Dam Hydroelectric Power Plant Afghanistan,34.5865,69.7757,Hydro,80
Bistrica 1,39.9116,20.1047,Hydro,88.45
Fierza,42.2514,20.0431,Hydro,1648.24
Koman,42.1033,19.8224,Hydro,1982.72
Lanabregas,41.3428,19.8964,Hydro,15.23
Shkopet,41.6796,19.8305,Hydro,83.57
Ulez,41.6796,19.8936,Hydro,87.06
Vau i Dijes,42.0137,19.6359,Hydro,703.64
Vlora,40.4874,19.434,Other,
Adrar,27.908,-0.317,Solar,35.17
Ain Azel,35.88,5.475,Solar,38.75
Ain Djasser,35.8665,6.0262,Gas,2171.28
Ain Sekhouna,34.532,0.804,Solar,35.46
Ain el Ibel I,34.346,3.164,Solar,34.81
Ain el Ibel II,34.342,3.169,Solar,85.55
Ain el Melh,34.861,4.204,Solar,33.75
Algerie Sud-Ouest,27.908,-0.317,Solar,74.02
Annaba,36.8924,7.7634,Gas,296.46
Aoulef,26.9989,1.3351,Solar,8.64
Arbaa,36.5988,3.1375,Gas,2338.3
Bir Rebaa,31.285,8.565,Solar,16.67
Boufarik 1,36.5914,2.9223,Gas,417.55
Boufarik 2,36.596,2.878,Gas,1878.99
Boutelilis,35.5658,-0.9386,Gas,1878.99
Chelghoum El Aïd,36.225,6.11,Solar,28.34
El Kheneg,33.727,2.811,Solar,95.16
F'Krina,35.7666,7.3619,Gas,1219.25
HPC Ouargla,32.602,5.834,Solar,48.72
Hadjret Ennous,36.5767,2.0797,Gas,5010.64
Hamma 2,36.7489,3.0823,Gas,1745.37
Hassi Messaoud Mobile,31.6703,6.0531,Gas,300.63
Hassi Messoud,31.6703,6.0531,Gas,2505.32
Hassi Messoud Nord 2,31.7877,6.0517,Gas,835.1
Hassi Messoud Ouest,31.8065,5.9924,Gas,2054.36
Hassi R'mel ISCC,33.123,3.356,Solar,34.69
Hauts Plateaux Centre,34.342,3.169,Solar,173.33
Hauts Plateaux Est,35.68,5.9861,Solar,130.11
Ighil Emda,36.4739,5.2719,Hydro,30.82
In Salah,27.183,2.504,Solar,8.75
Jijel,36.8139,5.876,Gas,2455.21
Kahrama IPP,35.8064,-0.2476,Gas,1440.56
Koudiet Eddraouch,36.885,8.0778,Gas,5010.64
Labiodh Sidi Cheikh,32.945,0.555,Solar,33.84
Labreg,34.5056,6.9848,Gas,1653.51
Marsat,35.8,-0.1924,Gas,3507.45
Marsat TG,35.8,-0.1924,Gas,768.29
Msila 1,35.7071,4.4804,Gas,4092.02
Naâma,33.274,-0.372,Solar,33.31
Oued El Kebrit,35.919,7.87,Solar,28.38
Oued el Ma,35.68,5.9861,Solar,37.38
Ras Djinet,36.8509,3.6983,Gas,2805.96
Ras el Oued,36.01,5.035,Solar,38.71
Ravin Blanc,35.7095,-0.6319,Gas,304.81
Reggane,26.768,0.137,Solar,8.92
Relizane,35.7835,0.5407,Gas,1941.62
SKB IPP,36.1399,2.9296,Gas,2020.96
SKS IPP SNC Lavalin,36.8789,6.9366,Gas,3403.06
SPP1 Thermal,32.9475,3.238,Gas,626.33
Skikda,36.88,6.935,Gas,1093.99
Tamanrasset,22.849,5.45,Solar,30.32
Terga,35.4608,-1.2295,Gas,5010.64
Tiaret,35.3396,1.3562,Gas,1252.66
Tilghemt 1,33.1319,3.348,Gas,835.1
Tilghemt 2,33.1377,3.3678,Gas,2505.32
Timimoun,29.22,0.223,Solar,15.97
Tindouf,27.752,-8.154,Solar,15.47
Télagh,34.692,-0.601,Solar,22.83
Zaouiet Kounta,27.241,-0.174,Solar,10.57
Biopio,-12.4706,13.7319,Oil,64.92
Biopio (hydro),-12.4706,13.7319,Hydro,48.53
Cambambe,-9.7523,14.4809,Hydro,678.19
Capanda,-9.7955,15.4672,Hydro,1746.62
Cazenga,-8.8383,13.2344,Gas,0
Huambo,-12.76,15.75,Oil,46.3
Lobito,-12.37,13.57,Gas,0
Luanda Diesel,-8.8383,13.2344,Oil,165.16
Luanda Refinery,-8.8383,13.2344,Oil,52.68
Malongo,-5.55,12.2,Oil,28.47
Matala,-14.7333,15.0333,Hydro,125.42
Namibe,-15.1961,12.1522,Gas,0
Rio Luachimo,-7.3,20.85,Hydro,66.01
Xitoto,-15.3333,15,Oil,32.29
McMurdo Station Generator,-77.847,166.6605,Oil,
Ross Island,-77.8428,166.7271,Wind,
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),-38.9368,-68.3556,Other,0
AGUA DEL CAJON (GENERADOR DEL MEM),-38.9368,-68.3556,Gas,1075.39
AGUA DEL TORO,-34.5792,-68.9892,Hydro,289.92
ALICURA,-40.58,-70.7489,Hydro,2896.84
ALMIRANTE BROWN,-34.8386,-58.4033,Oil,113.26
ALTO VALLE,-38.9524,-68.0218,Gas,546.09
ALUMINE,-39.2145,-70.9157,Oil,8.62
ALVAREZ CONDARCO,-33.0452,-69.0516,Hydro,163.07
ARROYITO,-39.1009,-68.5982,Hydro,413.34
ATUCHA I,-33.967,-59.2059,Nuclear,1303.91
ATUCHA II,-33.9674,-59.2045,Nuclear,2625.45
BANDERA,-23.8219,-64.7847,Oil,140.45
BARILOCHE (PUERTO  MORENO),-41.1167,-71.4167,Oil,25.98
BENJAMIN REOLIN,-32.1883,-64.3233,Hydro,104.67
BERNARDO  DE IRIGOYEN,-26.2545,-53.6469,Oil,9.49
C.T. RUFINO,-34.2605,-62.7107,Oil,144.52
C.T. SAN VICENTE,-35.0241,-58.4237,Oil,125.04
CAA CATI,-27.7534,-57.6205,Oil,6.41
CABRA CORRAL,-25.2712,-65.3298,Hydro,409.06
CACHEUTA (NUEVA),-33.0291,-69.1109,Hydro,341.24
CACHI,-25.1089,-66.2106,Oil,4.84
CAFAYATE,-26.0715,-65.9876,Oil,18.94
CAPITAL CATAMARCA - PREDIO CHOYA,-28.4537,-65.7841,Oil,25.95
CAPITAL CATAMARCA - PREDIO EX CARCEL,-28.4773,-65.7872,Oil,32.05
CAPITAL CATAMARCA - PREDIO RIPIERA,-28.4684,-65.7797,Oil,21.18
CASA DE PIEDRA,-38.2143,-67.1908,Hydro,206.48
CASSAFFOUSTH,-31.3992,-64.2006,Hydro,43.63
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,-38.7872,-62.2536,Coal,3213.44
CENTRAL LOMA DE LA LATA SA,-38.5127,-68.6048,Gas,3024.54
CENTRAL PARQUE INDUSTRIAL LA BANDA,-38.062,-67.9463,Oil,50.87
CENTRAL T.GENELBA,-34.9027,-58.7334,Gas,3772.84
CENTRAL T.GENELBA PLUS,-34.9027,-58.7334,Gas,921.64
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),-31.7112,-60.7811,Gas,1568.28
CENTRAL TERMICA DE CICLO COMBINADO SALTA,-24.7456,-65.0513,Gas,3601.45
